,id,host_id,minimum_nights,last_review,reviews_per_month
145,32969,142833,3,2019-07-02,0.11
146,33009,143027,4,2019-06-17,2.19
147,33014,143048,3,2019-06-17,0.28
148,33223,72014,3,2019-06-22,1.86
149,34760,149929,8,2019-06-29,1.05
150,35526,120291,4,2019-06-22,0.74
151,36121,62165,15,2013-05-10,0.09
152,36133,142684,3,2019-06-13,1.61
153,36442,137432,15,2018-08-27,0.05
154,36647,157798,2,2017-05-29,0.32
155,36703,158284,45,2019-03-31,1.24
156,36934,159370,6,2018-12-27,0.25
157,38638,92788,4,2019-06-26,1.16
158,38663,165789,3,2018-12-31,0.27
159,39267,168417,1,2019-06-08,2.6
160,39282,168525,4,2019-05-28,1.86
161,39593,110506,30,2019-04-12,0.26
162,39704,170510,2,2019-06-22,2.86
163,40039,171851,3,2011-04-25,0.13
164,40453,174025,3,2016-09-23,0.08
165,41348,180083,2,2019-07-06,2.17
166,41513,181167,3,2015-11-02,0.04
167,42580,137814,2,2019-06-24,3.47
168,42729,11481,2,2019-06-18,1.4
169,42882,185978,2,2019-06-13,1.66
170,43957,177536,2,2019-06-19,0.94
171,44096,190409,1,2019-07-04,2.04
172,44161,193360,2,2016-07-06,1.78
173,44212,72062,1,2019-06-23,0.78
174,44221,193722,3,2019-06-20,1.06
175,44229,181376,2,2019-06-24,2.0
176,44288,193637,3,2019-06-01,0.8
177,44506,126607,3,2019-05-26,0.75
178,45393,201297,26,2016-04-20,0.36
179,45542,202249,2,2018-12-17,1.79
180,45556,67778,2,2019-06-30,1.92
181,45910,204539,8,2019-05-12,0.11
182,45936,867225,4,2019-05-14,1.18
183,45940,204724,4,2019-04-08,0.58
184,46544,8198,5,2019-06-05,0.5
185,46723,209460,3,2019-05-19,1.17
186,46911,210746,3,2019-06-24,0.48
187,47199,212722,3,2019-06-24,1.85
188,47362,214148,26,2012-09-03,0.29
189,47370,214287,3,2015-07-17,0.03
190,47926,218404,1,2019-06-26,0.38
191,48719,221873,2,2019-06-15,1.04
192,50447,9744,5,2019-06-22,1.43
193,51438,236421,14,,
194,51485,236655,1,2019-06-22,2.69
195,51572,237329,1,2019-06-18,3.52
196,51850,27848,2,2019-05-20,0.49
197,53137,240360,5,2019-07-01,1.01
198,53196,247432,2,2017-11-13,0.48
199,53469,204539,30,2015-05-09,0.31
200,53470,204539,7,2015-10-08,0.06
201,53477,204539,7,2019-04-27,0.38
202,54158,10889,2,2019-06-20,3.44
203,54453,255583,6,2014-01-07,0.09
204,54466,253385,30,,
205,54508,210746,2,2019-06-06,2.12
206,54544,256161,1,2019-06-22,1.0
207,54626,190409,1,2019-06-30,1.45
208,54860,258164,5,2019-06-23,1.92
209,55467,260709,2,2019-07-02,3.04
210,55498,262138,2,2019-07-01,0.22
211,55668,88209,2,2018-12-05,1.17
212,55737,263414,5,2019-05-19,1.22
213,55959,168525,4,2019-06-10,1.13
214,55982,264928,3,2018-12-31,0.35
215,56467,267593,1,2019-07-01,2.04
216,56525,268014,2,2019-06-13,0.65
217,56859,256161,1,2019-06-03,1.84
218,57166,272006,2,2019-06-17,0.16
219,57297,199392,2,2019-06-24,2.12
220,57468,239208,3,2019-06-23,1.96
221,57618,274557,3,2019-06-09,0.96
222,57740,275459,3,2019-05-24,0.07
223,57754,275578,2,2019-06-30,1.09
224,57874,276291,3,2019-06-26,2.1
225,58059,277379,1,2019-07-03,4.58
226,58062,277394,2,2019-05-17,0.26
227,58467,279797,7,2019-05-08,0.3
228,59014,282927,3,2019-01-02,0.39
229,59121,204539,14,2012-09-17,0.01
230,59642,274782,2,2019-05-19,0.67
231,59709,186084,4,2019-07-01,0.18
232,59855,288031,30,2016-01-05,0.78
233,60164,289653,4,2019-06-23,0.99
234,60457,99212,5,2019-05-11,0.1
235,60611,292204,28,2018-09-29,1.83
236,60666,256161,1,2019-06-11,1.82
237,60673,249372,2,2018-10-07,0.11
238,60680,292630,2,2019-06-20,1.22
239,60794,293394,4,2017-08-25,0.04
240,60948,126607,3,2019-06-20,1.3
241,61167,295760,2,2015-12-12,0.2
242,61224,291112,2,2017-07-27,0.34
243,61406,297176,14,2019-06-01,2.21
244,61492,297769,4,2019-06-23,1.8
245,61509,23619,200,2019-04-30,0.9
246,62095,281764,3,2019-06-14,2.3
247,62427,303882,50,2019-05-26,0.58
248,62430,197755,3,2019-06-22,2.13
249,62452,303939,2,2019-06-25,1.85
250,62461,303939,2,2019-06-10,1.44
251,62787,303939,2,2019-07-02,1.71
252,62891,306545,3,2019-05-24,1.78
253,62903,306605,9,2019-06-21,0.7
254,62925,306739,3,2019-06-16,1.22
255,63299,308875,2,2019-06-23,1.77
256,63320,303939,2,2019-07-02,3.19
257,63360,307962,5,2019-06-24,4.5
258,63546,308652,1,2019-05-16,0.46
259,63573,310458,14,2016-08-29,0.09
260,63588,295128,2,,
261,63610,310670,2,2019-06-27,0.5
262,63657,170510,2,2019-06-25,2.39
263,63693,306545,5,2019-06-19,1.38
264,63719,311286,3,2018-08-19,0.41
265,63913,312288,7,,
266,64000,312722,17,2019-01-07,0.14
267,64015,146944,3,,
268,64107,313317,3,2019-06-24,2.69
269,64277,311286,4,2019-01-02,0.22
270,64314,314256,6,2019-05-26,3.55
271,64365,314582,2,2019-06-27,2.27
272,64707,7310,14,2019-01-02,0.16
273,64837,46978,2,2019-06-23,1.96
274,65019,317809,2,2019-07-06,2.1
275,65268,319092,5,2019-01-05,0.67
276,65556,320422,3,,
277,65562,320450,7,2019-01-03,0.15
278,65615,320761,10,2019-06-29,0.48
279,65660,320538,4,2019-07-07,1.27
280,65813,321756,3,2019-01-02,0.26
281,65834,321934,2,2013-05-02,0.11
282,66008,322884,3,2019-07-01,0.57
283,66026,322716,21,2019-06-30,0.15
284,66251,324460,3,2019-06-25,1.31
285,66275,314941,1,2019-06-23,1.11
286,66451,325389,2,2019-02-16,0.11
287,66718,136227,6,2019-06-23,1.87
288,66741,327673,2,2019-06-23,2.08
289,66974,329436,3,2019-07-01,0.79
290,67288,101597,28,2019-06-15,0.26
291,67299,330347,30,2019-05-06,0.56
292,67397,332189,3,2019-06-22,0.93
293,68099,323517,1,2019-06-25,1.05
294,68305,338454,30,2018-07-06,0.68
295,68403,240427,3,2019-06-24,1.25
296,68735,342054,11,2019-06-13,0.32
297,68765,282655,2,2019-06-27,1.34
298,68900,343250,3,2016-11-13,0.1
299,68974,281229,2,2019-06-20,1.88
300,69894,352168,30,2019-06-11,0.55
301,69921,155689,5,2019-06-29,0.49
302,70095,353965,2,2019-06-30,1.27
303,70128,354330,3,2019-01-10,0.63
304,70609,72062,2,2019-06-16,0.48
305,71010,361855,3,2019-05-24,0.43
306,71248,363834,25,2019-06-17,0.42
307,71366,364955,30,2019-06-25,0.44
308,71384,365153,1,2014-05-13,0.5
309,71812,369015,30,2019-01-02,0.35
310,72190,373085,13,2019-02-15,0.39
311,72265,340692,3,2019-06-16,0.36
312,74073,211877,4,2019-06-23,0.6
313,74240,389924,1,2019-06-07,0.67
314,74333,331328,14,2015-11-25,0.27
315,74404,391325,14,2012-08-22,0.31
316,74680,265109,2,2019-05-31,2.01
317,74860,394752,2,2011-03-28,0.01
318,75193,308875,2,2019-06-22,2.17
319,75635,401696,3,2019-06-27,2.81
320,76761,118971,2,2019-06-28,3.97
321,77765,417504,3,2019-07-01,0.36
322,77936,134355,3,2019-06-14,0.36
323,78919,422561,4,2016-02-05,0.1
324,79067,425506,6,2019-04-20,0.3
325,79782,430188,14,2019-03-31,0.76
326,80493,434987,2,2019-07-04,1.81
327,80684,417504,3,2016-03-27,0.09
328,80700,417504,3,2019-05-24,0.07
329,80924,438133,30,2018-09-25,0.51
330,81739,417504,3,2011-05-12,0.02
331,82549,448312,3,2016-09-16,0.68
332,82550,448312,3,2019-06-30,0.85
333,82638,449787,4,2019-06-06,2.4
334,82928,451545,3,2019-07-02,1.07
335,83243,453519,2,2019-06-10,2.27
336,83446,454756,35,2018-09-03,0.05
337,83722,456638,30,2018-08-26,0.11
338,83847,410094,2,2019-01-02,0.33
339,84010,417504,3,2019-06-27,0.14
340,84059,459054,5,2018-07-22,0.05
341,84659,462776,1,2019-06-26,3.88
342,84905,464506,3,2019-06-23,2.22
343,85094,322716,15,2019-01-14,0.11
344,86215,327900,2,2019-06-24,1.51
345,89427,116599,5,,
346,89621,209460,3,2019-06-28,2.26
347,93313,25183,2,2019-06-23,0.76
348,94035,35375,1,2019-07-06,1.21
349,94209,503800,90,,
350,94477,478395,2,2019-07-05,3.74
351,94783,473113,5,2019-06-21,1.04
352,95747,509341,7,2016-07-18,0.13
353,95883,509918,5,2018-12-26,0.07
354,96471,116599,4,2019-06-07,0.11
355,98330,31374,4,2012-01-03,0.01
356,98663,520279,30,2018-06-11,0.19
357,99070,522065,7,2019-05-26,1.31
358,99085,522164,30,2019-05-01,0.15
359,100002,523218,2,2019-06-17,1.37
360,100184,526653,1,2019-07-08,0.45
361,100186,526805,7,2019-06-28,0.99
362,101053,530032,3,2019-03-01,0.31
363,102995,178043,21,2018-01-01,0.46
364,103161,465278,3,2019-06-26,1.76
365,103311,417504,3,2018-05-19,0.09
366,103806,251176,5,2019-05-27,1.68
367,105469,547386,27,2015-09-21,0.13
368,105510,322716,30,2019-01-05,0.16
369,106363,551055,3,2019-06-26,3.83
370,106647,552679,2,2019-06-16,0.87
371,107630,306739,3,2019-06-20,2.53
372,107895,3088389,5,2019-06-19,0.56
373,110739,568568,18,2019-07-03,0.57
374,112100,572527,7,2013-01-01,0.03
375,112304,573316,1,2016-01-02,0.02
376,112359,571952,2,2018-12-28,0.57
377,112435,181376,2,2019-05-24,1.66
378,113265,314582,2,2019-06-21,2.51
379,113945,275582,10,2019-05-11,1.17
380,114123,579495,14,2019-05-19,0.28
381,114229,314941,1,2019-06-08,0.6
382,114969,582598,6,2018-09-24,0.4
383,115535,567187,14,2019-06-01,0.35
384,115678,127772,1,2019-06-23,3.23
385,115748,585166,4,2019-06-16,0.32
386,116940,209460,3,2019-06-24,2.27
387,117425,593115,30,2018-05-26,0.96
388,118061,2248897,4,2019-06-28,0.75
389,118430,585458,2,2019-01-03,0.36
390,118680,599354,2,,
391,120362,138069,4,2019-07-02,0.51
392,121687,262812,2,2019-06-23,0.31
393,121861,611716,2,2016-05-02,0.23
394,123784,617990,2,2019-06-16,1.44
395,125053,622460,2,2019-07-01,0.73
396,125163,622855,2,2019-06-03,0.54
397,125594,308652,1,2019-05-19,0.94
398,126443,627217,2,2019-07-07,4.1
399,126816,620288,1,2014-11-06,0.03
400,127387,23276,30,2014-08-04,0.03
401,128975,256161,1,2019-06-13,1.18
402,131154,275563,2,2019-07-07,1.79
403,132516,85330,3,2019-07-01,1.21
404,132570,651390,4,2017-12-26,0.25
405,132695,507186,2,2016-06-06,0.15
406,133025,653405,4,2019-06-06,1.07
407,134934,652842,10,2019-05-30,0.38
408,135393,663764,2,2019-06-24,2.69
409,135465,663879,3,2019-06-20,0.91
410,135706,665013,4,2017-01-01,0.1
411,136493,663384,7,2019-05-27,0.21
412,138216,674970,5,2018-07-08,0.21
413,139624,680818,20,2019-01-31,0.73
414,140133,622866,3,2019-07-05,1.55
415,140425,683975,2,2017-05-25,1.18
416,140973,686147,2,2019-05-26,0.71
417,141154,686768,3,2019-06-22,2.41
418,141335,687361,1,2018-01-13,0.41
419,141890,689661,3,2013-10-01,0.21
420,141984,630453,3,2019-06-10,0.69
421,142069,277747,4,2014-11-10,0.23
422,144087,616825,8,2019-05-18,0.17
423,144148,299755,1,2016-01-05,0.58
424,145064,404424,7,2014-06-06,0.08
425,145188,703156,4,,
426,145994,706418,5,2018-07-06,0.08
427,146754,709434,4,2019-04-27,0.72
428,147586,709334,2,2019-06-16,0.76
429,148201,715807,3,2013-05-31,0.19
430,148259,716064,2,2019-05-11,0.86
431,148825,718349,2,2019-06-29,2.18
432,149287,720320,4,,
433,149777,716306,1,2019-06-23,2.49
434,150804,726333,4,2019-07-06,0.2
435,151199,722320,1,2019-07-03,4.34
436,151478,216191,2,2018-12-11,0.09
437,152071,731855,2,,
438,152078,731904,7,2019-02-12,0.3
439,152259,256161,3,2019-05-28,1.22
440,152263,732535,2,2019-07-06,2.14
441,152520,733894,40,2018-11-16,0.55
442,153405,737585,2,2019-06-16,1.09
443,153780,739499,3,2019-06-28,1.8
444,154934,745069,3,2018-05-08,0.42
445,155296,656841,45,2019-05-02,0.5
446,157673,757166,31,2019-06-16,0.91
447,158061,758441,1,2017-10-08,0.28
448,158176,573065,5,2019-06-29,1.28
449,158290,759583,3,2019-05-20,0.44
450,158913,762563,5,2015-03-13,0.05
451,158955,465589,2,2019-06-29,4.0
452,159749,54275,1,2019-07-01,0.68
453,159815,54275,1,2019-06-24,0.41
454,159913,759883,2,2019-07-03,1.79
455,160609,769247,3,2019-01-01,0.12
456,160994,770831,2,2019-06-24,1.08
457,161366,733894,40,2019-06-01,0.43
458,161394,772300,6,2014-08-31,0.03
459,161996,1856604,3,2019-06-26,2.33
460,162493,776490,5,2018-12-27,0.79
461,162508,776645,2,2019-06-28,0.35
462,163627,242506,3,2017-12-31,2.31
463,163809,781647,5,2019-06-03,0.44
464,163814,627217,2,2019-07-05,2.92
465,163836,32169,4,2019-06-08,0.89
466,164989,69439,2,2019-06-16,0.56
467,165080,787273,7,2018-08-29,0.07
468,165461,867225,5,2019-01-01,0.59
469,165824,733894,44,2019-05-01,0.32
470,166006,791287,31,2018-08-23,1.94
471,166172,792159,3,2019-07-07,6.7
472,166541,793620,2,2019-06-15,0.35
473,166983,795640,5,2015-08-08,0.06
474,167013,306605,9,2018-05-13,0.04
475,167017,795889,5,2014-08-31,0.03
476,167222,22486,1,2018-08-24,0.21
477,167482,789257,2,2019-06-07,1.33
478,168084,800982,3,2019-06-30,1.6
479,168123,720558,28,2019-07-01,1.06
480,168546,803086,2,2016-01-02,0.12
481,168810,747698,65,2013-10-15,0.12
482,169002,805344,2,2019-06-16,0.43
483,169152,806112,2,2017-04-18,1.09
484,169306,806214,4,2019-05-21,1.21
485,169464,806774,2,2019-05-16,0.89
486,169483,807642,7,,
487,170420,812814,2,2016-02-15,0.16
488,170761,67778,2,2019-07-02,0.55
489,171776,803086,2,2015-10-01,0.18
490,172700,302772,3,2016-02-15,0.04
491,172870,781647,5,2018-01-03,0.47
492,173072,826192,3,2019-07-06,4.6
493,173151,826459,3,2019-06-24,2.49
494,173742,829652,2,2019-06-23,1.13
495,174527,833926,2,2018-10-28,0.46
496,174966,836168,30,2018-05-05,0.33
497,176135,842125,3,2018-10-23,0.32
498,176653,844862,4,2019-05-07,0.51
499,176962,846309,4,2019-04-13,0.24
500,177421,848748,2,2019-06-24,0.21
501,177495,848960,10,2019-06-24,0.9
502,177606,849492,6,2019-06-23,0.95
503,179670,21475,2,2019-06-27,1.04
504,179741,314941,1,2019-06-28,0.06
505,180507,864735,30,2018-12-01,0.22
506,180792,864735,30,2019-04-04,0.26
507,181972,872121,2,2019-06-02,1.17
508,182069,39260,2,2019-06-20,0.91
509,182095,872805,15,2019-04-29,0.69
510,182177,873273,2,2019-06-20,2.84
511,182649,876054,2,2019-06-18,2.4
512,185266,889106,4,2019-07-06,1.55
513,187488,871727,30,2018-12-03,0.07
514,187566,279078,2,2019-06-10,1.97
515,187986,904833,1,2015-08-28,0.02
516,188146,906200,6,2016-01-01,0.02
517,188661,909146,3,2018-10-20,0.7
518,188674,909234,1,2018-01-12,0.68
519,189135,179020,1,2019-07-01,1.0
520,189181,912541,4,2014-04-20,0.02
521,189732,489400,3,2019-06-29,1.86
522,189787,915640,4,2019-06-30,0.94
523,190267,918866,7,2019-07-07,0.41
524,190542,920542,3,2019-05-18,0.44
525,190968,922922,3,2019-05-08,0.35
526,190974,874471,3,2019-05-29,2.02
527,191075,923915,3,2019-03-28,0.85
528,193105,936114,28,2019-06-29,0.45
529,193333,302936,30,2018-10-31,0.54
530,193393,938056,2,2019-06-25,1.68
531,193853,48599,6,2018-05-21,0.27
532,194154,936830,6,2017-06-18,0.37
533,195123,940724,1,2019-06-12,2.35
534,195233,949221,1,2019-07-04,6.62
535,195240,949221,1,2019-06-17,0.84
536,195578,304493,1,2018-12-30,0.97
537,195971,953279,3,2019-06-23,1.19
538,195989,611716,1,2019-06-15,2.21
539,196010,953565,5,2015-06-14,0.16
540,197155,960836,1,2019-06-23,1.29
541,197753,964482,2,2019-06-12,3.9
542,197942,289135,3,2019-07-07,2.18
543,199195,971075,3,2019-03-30,0.65
544,199312,973438,2,2019-06-24,2.85
545,200645,933378,1,,
546,200955,568325,30,2018-04-30,0.26
547,201992,988350,4,2019-05-11,1.62
548,202273,918087,4,2016-12-26,0.76
549,203901,1000477,1,2016-09-18,0.08
550,204065,51038,2,2019-06-04,0.61
551,204833,903686,6,2015-09-17,0.09
552,204959,464506,3,2019-07-02,1.84
553,205043,1007558,1,2019-06-20,7.14
554,205485,1010242,3,2019-06-11,1.29
555,205735,1011426,2,2019-04-30,0.59
556,205867,1012691,4,2019-07-03,0.99
557,206071,12221,3,2019-06-25,2.7
558,206316,1014639,2,2018-08-27,0.18
559,206772,1017473,14,2019-05-26,0.33
560,206957,1018472,4,2016-11-15,1.34
561,208148,1024355,3,2015-08-31,0.15
562,208889,1029021,3,2019-06-24,0.32
563,209310,1031148,28,2019-05-28,2.9
564,211078,306739,3,2018-04-25,2.39
565,211974,272730,1,2019-07-01,0.65
566,212109,666271,90,2019-06-30,0.2
567,212178,1094178,2,2019-06-19,1.88
568,212544,1096084,7,2016-06-23,0.1
569,213272,293130,1,2019-04-21,0.37
570,213330,800223,30,2018-08-29,0.49
571,214917,1109658,2,2018-02-08,0.05
572,215560,1112560,3,2019-06-25,1.6
573,215784,864735,30,2019-03-31,0.25
574,215907,1114587,2,2019-04-22,0.47
575,217580,1121193,30,2018-11-14,0.08
576,218358,1129218,7,2019-06-03,0.35
577,219066,447754,1,2019-01-19,0.26
578,219482,759583,4,2017-10-14,0.09
579,219793,1138692,1,2015-06-03,0.31
580,219818,1138692,1,2015-07-20,0.15
581,219922,1139574,1,2019-05-25,0.38
582,220351,921500,4,2019-02-28,1.04
583,220563,918087,3,2017-01-05,0.62
584,220946,1144415,3,2019-06-16,1.5
585,221043,846050,2,,
586,221097,1146744,29,2019-03-15,0.23
587,221618,4887492,3,2019-05-21,0.87
588,222054,22486,2,2018-09-15,0.24
589,222304,1153993,4,2019-05-08,0.34
590,223930,1164642,5,2019-06-23,0.25
591,224004,1165231,1,2018-10-26,0.63
592,224006,1165231,55,2015-01-02,0.08
593,224510,991380,4,2018-07-05,0.21
594,225297,1173599,4,2018-12-26,0.03
595,225306,1112560,3,2019-07-05,1.21
596,225887,663879,3,2019-06-19,1.63
597,225926,1177497,1,2019-07-01,1.73
598,225976,1177947,6,2019-06-13,0.8
599,226021,815977,3,2019-06-30,1.23
600,227715,209460,3,2019-06-30,2.47
601,227735,1187935,2,2019-06-24,1.27
602,228317,1191142,4,2019-05-18,0.87
603,228496,1192424,3,2019-05-26,0.15
604,228517,1192610,30,2019-06-24,0.64
605,228925,1194377,7,2019-06-26,1.87
606,228979,1190088,2,2018-08-14,0.55
607,229367,1097545,1,2019-07-03,2.95
608,229874,507304,5,2012-01-02,0.01
609,230321,1203500,2,2019-06-09,0.4
610,230854,12221,5,2019-06-29,2.49
611,230877,292204,28,2019-06-30,1.21
612,230956,1207399,1,2015-10-02,1.15
613,231414,1184442,5,2013-07-09,0.01
614,232612,1217241,3,2019-06-27,3.24
615,232618,763420,1,2019-06-18,1.52
616,233189,1220414,30,2019-05-31,0.88
617,233638,1012895,1,2018-07-31,0.25
618,233662,1223568,2,2019-05-18,0.65
619,234184,902054,5,2019-06-30,0.94
620,234870,1229984,30,2017-07-31,0.74
621,235552,1234405,1,2019-06-16,0.44
622,235651,83257,30,2019-04-26,0.86
623,235951,1236070,30,2019-06-19,1.45
624,235960,1236817,3,2018-05-28,1.06
625,236671,1240820,2,2019-07-06,1.36
626,236788,4166168,5,2019-04-14,0.5
627,236806,1151987,4,,
628,237127,1146958,30,2019-04-28,1.59
629,237210,1243192,30,,
630,239055,65064,7,2014-10-06,0.03
631,239733,1256874,28,2019-06-26,0.53
632,239766,1257309,5,2018-05-18,0.11
633,239826,1257760,1,,
634,239883,136962,5,2019-05-25,1.32
635,239899,1258363,21,2018-12-19,0.12
636,240800,1263176,1,2019-06-30,1.57
637,241140,1177497,1,2019-04-14,0.46
638,241159,1264655,6,2019-01-03,0.33
639,241862,1269455,2,2019-01-02,0.39
640,242532,1177497,1,2019-06-19,1.28
641,242643,1273825,1,2019-01-01,0.29
642,243229,1276497,3,2017-07-09,0.05
643,243708,288711,30,2019-04-01,2.59
644,245504,714200,4,2019-06-21,2.45
645,245544,1260921,2,2019-06-19,1.36
646,245574,1288460,2,2019-06-05,1.92
647,245607,825022,5,2019-07-01,0.39
648,246134,283604,3,2016-10-02,0.05
649,246351,1292250,1,2015-08-17,0.06
650,246916,3647,4,2019-06-25,0.64
651,246938,936630,1,2019-06-23,2.59
652,248865,417504,3,2019-04-22,0.37
653,248871,605463,3,2019-06-24,1.4
654,249414,1306587,4,2017-06-28,0.16
655,249618,1307773,60,2015-07-03,0.06
656,249867,758441,1,2018-10-07,0.08
657,250259,1311398,5,2019-07-07,3.04
658,250311,945499,3,,
659,250323,1311870,1,2014-12-03,0.58
660,250536,1313306,1,2017-09-25,0.12
661,250537,1313306,5,,
662,250801,1314834,3,2019-05-23,1.15
663,251262,1278802,2,2019-06-29,2.6
664,251277,1317343,1,2019-06-29,1.89
665,252076,297769,4,2019-06-16,1.63
666,252607,1325961,3,2018-08-09,0.53
667,253332,552343,120,2018-09-01,0.14
668,253466,417504,3,2019-06-24,0.47
669,253471,417504,3,2018-11-06,0.32
